,date,adClose_DBC,adClose_DLG,adClose_HHS,adClose_HNG,adClose_IDI,adClose_SBT,adClose_TNG,adClose_TSC,adClose_TTF,adClose_VNM
0,2018-12-10,8.335,1.86,3.047,17.05,7.743,14.978,9.755,1.267,3.95,90.94
1,2018-12-11,8.367,1.85,3.025,16.9,7.705,14.941,9.704,1.267,3.72,90.805
2,2018-12-12,8.335,1.82,3.075,16.85,7.78,15.015,9.704,1.258,3.74,90.266
3,2018-12-13,8.429,1.79,3.039,16.7,7.818,15.61,9.908,1.258,3.71,90.94
4,2018-12-14,8.335,1.79,3.025,16.75,7.78,15.313,9.806,1.258,3.7,90.94
5,2018-12-17,8.242,1.76,2.966,16.3,7.629,15.239,9.448,1.249,3.55,90.199
6,2018-12-18,8.242,1.68,2.966,16.3,7.442,14.868,9.242,1.24,3.41,88.717
7,2018-12-19,8.211,1.63,2.93,16.3,7.179,14.718,9.091,1.205,3.48,86.965
8,2018-12-20,8.211,1.63,2.952,16.25,7.194,14.83,9.242,1.196,3.57,85.012
9,2018-12-21,8.18,1.74,2.937,15.7,7.066,15.239,9.295,1.214,3.54,82.519
10,2018-12-24,8.242,1.74,2.916,15.05,6.878,15.389,8.937,1.214,3.43,84.607
11,2018-12-25,8.211,1.69,2.872,16.05,6.397,15.617,8.529,1.169,3.3,83.934
12,2018-12-26,8.116,1.61,2.843,15.65,6.134,15.617,8.529,1.169,3.28,83.53
13,2018-12-27,8.116,1.62,2.872,15.25,5.788,15.883,8.631,1.178,3.28,83.668
14,2018-12-28,8.116,1.52,2.872,16.0,5.39,15.768,8.478,1.16,3.25,81.495
15,2019-01-02,8.116,1.48,2.872,15.9,5.443,15.504,8.325,1.169,3.28,84.212
16,2019-01-03,7.805,1.48,2.879,15.5,5.066,15.125,8.068,1.169,3.19,83.465
17,2019-01-04,7.493,1.39,2.872,15.4,4.713,15.163,8.171,1.178,3.2,84.891
18,2019-01-07,7.555,1.41,2.886,15.3,5.036,15.351,8.272,1.196,3.25,88.966
19,2019-01-08,6.869,1.47,2.864,15.1,5.382,15.389,8.325,1.249,3.27,88.287
20,2019-01-09,6.962,1.4,2.886,14.8,5.758,15.467,8.529,1.24,3.13,89.577
21,2019-01-10,7.025,1.45,2.864,14.8,5.954,15.504,8.426,1.231,3.17,89.441
22,2019-01-11,7.587,1.41,2.85,14.85,5.788,15.731,8.426,1.169,3.11,91.003
23,2019-01-14,7.618,1.42,2.843,14.2,5.788,15.791,8.478,1.169,2.95,91.682
24,2019-01-15,7.712,1.38,2.857,14.35,5.886,15.912,9.193,1.169,3.02,91.614
25,2019-01-16,7.336,1.45,2.857,14.5,5.969,15.952,8.989,1.169,3.0,90.324
26,2019-01-17,7.117,1.45,2.864,14.25,5.864,15.871,8.887,1.169,2.97,89.781
27,2019-01-18,7.805,1.44,2.909,14.1,5.864,15.752,8.783,1.142,2.9,91.003
28,2019-01-21,8.398,1.4,2.886,13.3,5.803,15.832,9.242,1.142,2.78,90.867
29,2019-01-22,8.398,1.37,2.894,14.2,5.72,16.154,9.091,1.124,2.78,91.003
30,2019-01-23,8.398,1.41,2.922,14.3,5.923,16.154,9.091,1.124,2.75,91.343
31,2019-01-24,8.367,1.41,2.916,14.5,5.939,16.074,9.091,1.115,2.74,92.022
32,2019-01-25,8.523,1.38,2.894,14.4,6.074,16.154,8.887,1.124,2.75,92.293
33,2019-01-28,8.492,1.3,2.864,14.4,6.044,16.154,8.835,1.115,2.94,92.701
34,2019-01-29,8.492,1.25,2.85,14.2,6.013,16.074,8.887,1.133,3.01,92.701
35,2019-01-30,8.492,1.29,2.798,14.2,6.292,16.033,8.835,1.142,2.95,92.022
36,2019-01-31,8.429,1.32,2.828,14.3,6.404,15.993,8.937,1.133,2.76,91.682
37,2019-02-01,8.429,1.31,2.843,14.45,6.329,16.074,9.091,1.133,2.82,91.682
38,2019-02-11,8.429,1.28,2.872,14.6,6.728,16.074,9.55,1.106,2.84,93.04
39,2019-02-12,8.398,1.3,2.894,15.1,7.066,16.074,9.448,1.115,2.98,93.72
40,2019-02-13,8.398,1.3,2.93,15.5,7.036,16.074,9.6,1.124,2.93,93.923
41,2019-02-14,8.367,1.28,2.922,15.5,6.886,16.797,9.704,1.133,2.93,94.67
42,2019-02-15,8.335,1.27,2.922,15.7,6.878,16.997,9.6,1.124,2.91,95.214
43,2019-02-18,8.335,1.27,2.973,15.7,6.893,16.797,9.755,1.115,2.91,96.436
44,2019-02-19,8.273,1.25,2.937,15.55,6.765,16.516,9.856,1.115,2.94,96.844
45,2019-02-20,8.116,1.25,2.937,15.4,6.69,16.234,9.908,1.115,2.91,97.115
46,2019-02-21,7.867,1.26,2.922,15.6,6.427,16.435,9.806,1.115,2.9,100.85
47,2019-02-22,7.867,1.25,2.922,15.7,6.465,16.113,9.652,1.115,2.89,101.122
48,2019-02-25,7.867,1.25,2.937,15.85,6.562,15.912,9.499,1.133,3.09,102.956
49,2019-02-26,7.836,1.24,2.952,15.65,6.675,16.234,9.55,1.124,3.15,99.22
50,2019-02-27,7.742,1.24,2.945,15.7,6.698,16.074,9.958,1.142,3.03,100.307
51,2019-02-28,7.805,1.29,2.916,15.6,6.555,15.871,9.652,1.16,2.96,95.825
52,2019-03-01,7.93,1.29,2.916,15.85,6.653,15.952,10.571,1.24,3.06,96.029
53,2019-03-04,7.867,1.38,2.945,15.75,6.938,15.912,10.776,1.321,3.2,97.047
54,2019-03-05,7.493,1.47,3.039,16.0,6.871,15.671,10.827,1.411,3.42,96.436
55,2019-03-06,7.493,1.57,3.032,15.9,6.908,15.35,11.899,1.429,3.37,95.757
56,2019-03-07,7.117,1.56,3.061,15.8,6.886,15.148,11.49,1.456,3.24,94.874
57,2019-03-08,7.336,1.53,3.025,15.6,6.69,15.109,11.694,1.42,3.06,93.04
58,2019-03-11,7.306,1.5,2.988,15.5,6.615,15.35,12.358,1.348,3.2,93.448
59,2019-03-12,7.181,1.49,2.982,15.0,6.653,15.51,12.256,1.339,3.31,94.399
60,2019-03-13,7.306,1.59,2.959,15.1,6.54,15.429,12.155,1.429,3.51,93.923
61,2019-03-14,7.181,1.7,2.959,15.05,6.502,15.229,12.155,1.519,3.75,93.176
62,2019-03-15,7.212,1.73,2.952,15.0,6.322,15.31,12.563,1.519,3.7,93.04
63,2019-03-18,7.181,1.8,2.959,15.0,6.419,15.068,11.899,1.501,3.65,93.72
64,2019-03-19,7.555,1.79,2.988,15.0,6.465,15.028,11.694,1.429,3.9,92.973
65,2019-03-20,7.805,1.76,3.032,15.0,6.487,14.948,11.899,1.474,4.03,94.059
66,2019-03-21,7.68,1.7,2.988,15.0,6.329,14.627,10.98,1.456,3.75,92.361
67,2019-03-22,7.712,1.63,3.025,15.0,6.239,14.627,11.236,1.411,3.75,92.701
68,2019-03-25,7.493,1.52,2.952,16.05,5.901,14.627,10.929,1.384,3.53,92.701
69,2019-03-26,7.493,1.56,2.952,15.95,5.75,14.627,11.49,1.393,3.72,92.701
70,2019-03-27,7.493,1.66,2.945,15.6,5.766,14.707,11.643,1.474,3.65,92.701
71,2019-03-28,7.555,1.69,2.937,15.5,5.766,14.747,11.49,1.438,3.65,91.818
72,2019-03-29,7.587,1.75,2.952,15.55,5.788,14.747,11.49,1.429,3.66,91.546
73,2019-04-01,7.587,1.82,2.937,15.45,6.036,14.666,11.593,1.438,3.67,94.127
74,2019-04-02,7.523,1.75,2.937,15.55,5.976,14.666,11.338,1.384,3.84,94.399
75,2019-04-03,7.493,1.72,2.93,15.1,5.931,14.666,11.694,1.411,3.82,94.059
76,2019-04-04,7.493,1.77,2.973,15.35,5.976,14.666,11.643,1.321,3.9,93.72
77,2019-04-05,7.461,1.72,2.937,15.3,5.983,15.148,11.694,1.258,3.99,92.565
78,2019-04-08,7.712,1.77,2.937,15.15,6.013,15.269,11.694,1.339,3.99,93.176
79,2019-04-09,7.68,1.74,2.937,15.15,6.127,14.948,11.949,1.258,3.89,91.954
80,2019-04-10,7.618,1.71,2.93,15.15,6.427,14.666,11.797,1.249,3.84,91.886
81,2019-04-11,7.555,1.7,2.93,15.15,6.638,14.868,12.001,1.231,3.88,92.09
82,2019-04-12,7.693,1.66,2.916,15.1,6.502,14.868,11.849,1.24,3.91,92.158
83,2019-04-16,7.693,1.62,2.909,15.1,6.352,14.868,11.797,1.231,3.75,92.361
84,2019-04-17,7.453,1.65,2.9,15.6,6.577,14.787,11.236,1.303,3.5,91.682
85,2019-04-18,7.693,1.58,2.843,15.3,6.524,14.707,10.98,1.348,3.4,91.818
86,2019-04-19,7.624,1.6,2.835,15.3,6.548,14.666,11.132,1.339,3.59,90.324
87,2019-04-22,7.555,1.57,2.813,15.35,6.375,14.666,10.419,1.294,3.68,88.015
88,2019-04-23,7.555,1.59,2.813,15.4,6.465,14.547,10.571,1.312,3.67,86.249
89,2019-04-24,7.658,1.65,2.886,15.4,6.562,14.666,10.776,1.366,3.68,87.947
90,2019-04-25,7.624,1.59,2.85,15.45,6.427,14.666,10.675,1.33,3.43,87.947
91,2019-04-26,7.727,1.58,2.835,15.7,6.472,14.627,10.724,1.348,3.3,88.151
92,2019-05-02,7.795,1.53,2.835,15.6,6.457,14.707,10.52,1.33,3.49,88.287
93,2019-05-03,7.761,1.44,2.835,15.5,6.352,14.547,10.468,1.33,3.3,88.966
94,2019-05-06,7.727,1.37,2.77,15.25,6.209,14.224,10.724,1.258,3.32,87.675
95,2019-05-07,7.555,1.46,2.807,15.3,6.127,14.224,10.622,1.249,3.34,87.947
96,2019-05-08,7.555,1.53,2.755,15.25,6.006,14.224,10.622,1.258,3.35,86.928
97,2019-05-09,7.624,1.45,2.734,15.0,5.923,14.184,10.724,1.267,3.42,87.064
98,2019-05-10,7.59,1.47,2.719,15.0,6.112,14.184,11.03,1.258,3.59,88.354
99,2019-05-13,7.555,1.42,2.726,15.25,6.322,14.184,11.03,1.267,3.69,90.935
100,2019-05-14,7.555,1.5,2.711,15.25,6.285,14.184,11.439,1.258,3.61,92.022
101,2019-05-15,7.453,1.52,2.726,15.25,6.314,14.144,11.338,1.258,3.55,92.09
102,2019-05-16,7.453,1.49,2.711,15.45,6.217,14.184,11.288,1.258,3.58,92.633
103,2019-05-17,7.246,1.48,2.683,15.45,6.134,14.346,11.236,1.258,3.55,92.09
104,2019-05-20,7.246,1.45,2.668,15.45,6.104,14.707,11.643,1.258,3.58,93.38
105,2019-05-21,7.143,1.42,2.668,15.35,6.081,14.666,11.593,1.258,3.53,90.663
106,2019-05-22,7.04,1.41,2.668,15.75,6.081,14.627,11.388,1.258,3.49,89.713
107,2019-05-23,7.074,1.37,2.646,15.7,6.261,14.466,11.747,1.258,3.47,89.713
108,2019-05-24,7.04,1.43,2.623,15.7,6.127,14.386,11.949,1.276,3.36,88.626
109,2019-05-27,6.972,1.39,2.623,15.4,6.088,14.507,11.949,1.357,3.45,91.003
110,2019-05-28,6.972,1.38,2.617,15.4,6.119,14.466,12.409,1.303,3.48,89.645
111,2019-05-29,6.937,1.4,2.609,15.4,6.119,14.305,12.358,1.339,3.58,90.256
112,2019-05-30,6.869,1.35,2.623,15.35,6.119,14.466,12.206,1.312,3.55,89.305
113,2019-05-31,7.04,1.35,2.66,15.2,6.029,14.507,11.439,1.321,3.42,87.947
114,2019-06-03,7.006,1.33,2.623,15.1,5.864,14.305,11.338,1.303,3.25,86.928
115,2019-06-04,6.937,1.31,2.639,14.9,5.871,14.305,11.543,1.285,3.25,87.336
116,2019-06-05,6.903,1.35,2.623,15.05,5.864,14.346,11.543,1.285,3.27,87.614
117,2019-06-06,7.555,1.34,2.551,15.1,5.856,14.305,11.439,1.294,3.14,86.927
118,2019-06-07,8.242,1.36,2.559,15.3,5.923,14.305,11.694,1.294,3.14,86.995
119,2019-06-10,8.311,1.36,2.623,15.25,5.773,14.265,11.694,1.312,3.13,87.201
120,2019-06-11,8.208,1.35,2.587,15.3,5.781,13.42,11.593,1.339,3.1,86.239
121,2019-06-12,8.104,1.36,2.587,15.3,5.713,13.823,11.439,1.357,3.31,86.033
122,2019-06-13,7.865,1.45,2.623,15.3,5.562,13.782,11.624,1.429,3.35,84.659
123,2019-06-14,7.865,1.55,2.646,15.3,5.57,13.823,11.377,1.42,3.26,85.003
124,2019-06-17,7.555,1.47,2.623,15.2,5.51,13.823,11.256,1.438,3.2,85.003
125,2019-06-18,7.555,1.4,2.596,15.0,5.42,13.823,11.439,1.339,3.14,84.522
126,2019-06-19,7.486,1.49,2.58,15.35,5.42,13.823,11.5,1.375,3.2,84.796
127,2019-06-20,8.173,1.53,2.573,15.75,5.45,13.782,11.624,1.375,3.12,84.728
128,2019-06-21,7.521,1.5,2.566,15.6,5.45,13.742,11.562,1.438,3.2,86.239
129,2019-06-24,7.417,1.56,2.5,16.0,5.45,13.782,11.928,1.438,3.2,84.59
130,2019-06-25,7.384,1.59,2.448,16.75,5.338,13.782,12.051,1.429,3.15,84.796
131,2019-06-26,7.555,1.57,2.434,16.6,5.487,13.782,12.662,1.438,3.16,84.865
132,2019-06-27,8.071,1.54,2.384,16.3,5.623,13.742,12.296,1.474,3.38,84.59
133,2019-06-28,8.448,1.58,2.442,17.1,5.555,13.823,13.213,1.474,3.37,84.522
134,2019-07-01,7.658,1.56,2.478,17.1,5.608,13.863,13.152,1.492,3.39,85.896
135,2019-07-02,7.624,1.55,2.434,17.1,5.638,13.823,13.213,1.501,3.32,85.965
136,2019-07-03,7.727,1.55,2.421,17.35,5.706,13.782,13.458,1.573,3.31,86.583
137,2019-07-04,7.486,1.56,2.464,17.9,5.653,13.782,13.337,1.591,3.27,86.72
138,2019-07-05,7.555,1.54,2.478,17.9,5.638,13.782,13.398,1.483,3.35,86.72
