date,adClose_DXG,adClose_HAG,adClose_HQC,adClose_ITA,adClose_MBB,adClose_SHB,adClose_SSI,adClose_STB,adClose_VND,adClose_VPB
2018-12-10,17.502,5.18,1.59,2.86,9.069,3.344,13.258,12.5,4.462,8.389
2018-12-11,17.365,5.17,1.6,2.84,9.131,3.344,13.213,12.5,4.439,8.333
2018-12-12,17.775,5.19,1.59,3.03,9.233,3.433,13.44,12.7,4.508,8.296
2018-12-13,17.673,5.2,1.61,3.2,9.11,3.388,13.462,12.9,4.508,8.315
2018-12-14,17.434,5.18,1.57,3.1,8.946,3.344,13.281,12.8,4.405,8.074
2018-12-15,17.434,5.18,1.57,3.1,8.946,3.344,13.281,12.8,4.405,8.074
2018-12-16,17.434,5.18,1.57,3.1,8.946,3.344,13.281,12.8,4.405,8.074
2018-12-17,16.75,5.1,1.58,3.25,8.72,3.344,12.941,12.5,4.119,7.778
2018-12-18,16.408,5.2,1.58,3.25,8.741,3.299,12.781,12.4,4.04,7.667
2018-12-19,16.1,5.19,1.57,3.26,8.679,3.299,12.736,12.45,4.05,7.667
2018-12-20,16.681,5.09,1.58,3.23,8.597,3.344,12.759,12.25,4.097,7.519
2018-12-21,16.545,5.05,1.58,3.3,8.597,3.299,12.623,12.1,4.097,7.667
2018-12-22,16.545,5.05,1.58,3.3,8.597,3.299,12.623,12.1,4.097,7.667
2018-12-23,16.545,5.05,1.58,3.3,8.597,3.299,12.623,12.1,4.097,7.667
2018-12-24,16.476,5.05,1.57,3.4,8.392,3.254,12.239,12.15,3.994,7.537
2018-12-25,16.032,4.88,1.55,3.17,8.084,3.21,12.17,11.95,3.833,7.259
2018-12-26,15.724,4.88,1.54,3.17,8.043,3.21,12.079,11.95,3.73,7.222
2018-12-27,16.203,4.94,1.56,3.16,8.084,3.21,12.239,12.0,3.742,7.352
2018-12-28,16.271,4.88,1.46,3.06,7.982,3.21,12.079,11.95,3.753,7.389
2018-12-29,16.271,4.88,1.46,3.06,7.982,3.21,12.079,11.95,3.753,7.389
2018-12-30,16.271,4.88,1.46,3.06,7.982,3.21,12.079,11.95,3.753,7.389
2018-12-31,16.271,4.88,1.46,3.06,7.982,3.21,12.079,11.95,3.753,7.389
2019-01-01,16.271,4.88,1.46,3.06,7.982,3.21,12.079,11.95,3.753,7.389
2019-01-02,15.759,4.78,1.48,2.9,7.94,3.21,12.012,11.6,3.776,7.185
2019-01-03,15.382,4.68,1.46,2.91,7.592,3.121,11.785,11.1,3.718,7.037
2019-01-04,15.519,4.66,1.43,2.91,7.633,3.121,11.785,11.15,3.73,7.019
2019-01-05,15.519,4.66,1.43,2.91,7.633,3.121,11.785,11.15,3.73,7.019
2019-01-06,15.519,4.66,1.43,2.91,7.633,3.121,11.785,11.15,3.73,7.019
2019-01-07,15.69,4.66,1.45,2.99,7.776,3.21,11.809,11.5,3.81,7.129
2019-01-08,15.382,4.75,1.44,2.99,7.735,3.121,11.649,11.35,3.845,7.093
2019-01-09,16.134,4.71,1.43,3.02,7.94,3.21,11.672,11.4,3.753,7.093
2019-01-10,16.1,4.86,1.44,3.0,7.94,3.121,11.581,11.4,3.672,7.111
2019-01-11,15.895,5.08,1.44,3.01,7.899,3.121,11.853,11.4,3.753,7.074
2019-01-12,15.895,5.08,1.44,3.01,7.899,3.121,11.853,11.4,3.753,7.074
2019-01-13,15.895,5.08,1.44,3.01,7.899,3.121,11.853,11.4,3.753,7.074
2019-01-14,15.724,5.07,1.42,2.94,7.797,3.121,11.693,11.2,3.662,7.055
2019-01-15,15.861,5.07,1.42,3.0,8.002,3.165,11.785,11.3,3.651,7.129
2019-01-16,15.724,5.11,1.4,3.01,7.982,3.121,11.672,11.3,3.605,7.352
