date,adClose_DBC,adClose_DLG,adClose_HHS,adClose_HNG,adClose_IDI,adClose_SBT,adClose_TNG,adClose_TSC,adClose_TTF,adClose_VNM
2018-12-10,8.335,1.86,3.047,17.05,7.743,14.978,9.755,1.267,3.95,90.94
2018-12-11,8.367,1.85,3.025,16.9,7.705,14.941,9.704,1.267,3.72,90.805
2018-12-12,8.335,1.82,3.075,16.85,7.78,15.015,9.704,1.258,3.74,90.266
2018-12-13,8.429,1.79,3.039,16.7,7.818,15.61,9.908,1.258,3.71,90.94
2018-12-14,8.335,1.79,3.025,16.75,7.78,15.313,9.806,1.258,3.7,90.94
2018-12-15,8.335,1.79,3.025,16.75,7.78,15.313,9.806,1.258,3.7,90.94
2018-12-16,8.335,1.79,3.025,16.75,7.78,15.313,9.806,1.258,3.7,90.94
2018-12-17,8.242,1.76,2.966,16.3,7.629,15.239,9.448,1.249,3.55,90.199
2018-12-18,8.242,1.68,2.966,16.3,7.442,14.868,9.242,1.24,3.41,88.717
2018-12-19,8.211,1.63,2.93,16.3,7.179,14.718,9.091,1.205,3.48,86.965
2018-12-20,8.211,1.63,2.952,16.25,7.194,14.83,9.242,1.196,3.57,85.012
2018-12-21,8.18,1.74,2.937,15.7,7.066,15.239,9.295,1.214,3.54,82.519
2018-12-22,8.18,1.74,2.937,15.7,7.066,15.239,9.295,1.214,3.54,82.519
2018-12-23,8.18,1.74,2.937,15.7,7.066,15.239,9.295,1.214,3.54,82.519
2018-12-24,8.242,1.74,2.916,15.05,6.878,15.389,8.937,1.214,3.43,84.607
2018-12-25,8.211,1.69,2.872,16.05,6.397,15.617,8.529,1.169,3.3,83.934
2018-12-26,8.116,1.61,2.843,15.65,6.134,15.617,8.529,1.169,3.28,83.53
2018-12-27,8.116,1.62,2.872,15.25,5.788,15.883,8.631,1.178,3.28,83.668
2018-12-28,8.116,1.52,2.872,16.0,5.39,15.768,8.478,1.16,3.25,81.495
2018-12-29,8.116,1.52,2.872,16.0,5.39,15.768,8.478,1.16,3.25,81.495
2018-12-30,8.116,1.52,2.872,16.0,5.39,15.768,8.478,1.16,3.25,81.495
2018-12-31,8.116,1.52,2.872,16.0,5.39,15.768,8.478,1.16,3.25,81.495
2019-01-01,8.116,1.52,2.872,16.0,5.39,15.768,8.478,1.16,3.25,81.495
2019-01-02,8.116,1.48,2.872,15.9,5.443,15.504,8.325,1.169,3.28,84.212
2019-01-03,7.805,1.48,2.879,15.5,5.066,15.125,8.068,1.169,3.19,83.465
2019-01-04,7.493,1.39,2.872,15.4,4.713,15.163,8.171,1.178,3.2,84.891
2019-01-05,7.493,1.39,2.872,15.4,4.713,15.163,8.171,1.178,3.2,84.891
2019-01-06,7.493,1.39,2.872,15.4,4.713,15.163,8.171,1.178,3.2,84.891
2019-01-07,7.555,1.41,2.886,15.3,5.036,15.351,8.272,1.196,3.25,88.966
2019-01-08,6.869,1.47,2.864,15.1,5.382,15.389,8.325,1.249,3.27,88.287
2019-01-09,6.962,1.4,2.886,14.8,5.758,15.467,8.529,1.24,3.13,89.577
2019-01-10,7.025,1.45,2.864,14.8,5.954,15.504,8.426,1.231,3.17,89.441
2019-01-11,7.587,1.41,2.85,14.85,5.788,15.731,8.426,1.169,3.11,91.003
2019-01-12,7.587,1.41,2.85,14.85,5.788,15.731,8.426,1.169,3.11,91.003
2019-01-13,7.587,1.41,2.85,14.85,5.788,15.731,8.426,1.169,3.11,91.003
2019-01-14,7.618,1.42,2.843,14.2,5.788,15.791,8.478,1.169,2.95,91.682
2019-01-15,7.712,1.38,2.857,14.35,5.886,15.912,9.193,1.169,3.02,91.614
2019-01-16,7.336,1.45,2.857,14.5,5.969,15.952,8.989,1.169,3.0,90.324
2019-01-17,7.117,1.45,2.864,14.25,5.864,15.871,8.887,1.169,2.97,89.781
2019-01-18,7.805,1.44,2.909,14.1,5.864,15.752,8.783,1.142,2.9,91.003
