date,adClose_DBC,adClose_DLG,adClose_HHS,adClose_HNG,adClose_IDI,adClose_SBT,adClose_TNG,adClose_TSC,adClose_TTF,adClose_VNM
2020-04-11,,,,,,,,,,
2020-04-12,,,,,,,,,,
2020-04-13,8.921,1.54,2.471,12.7,3.346,11.52,7.405,1.969,2.1,69.827
2020-04-14,9.368,1.54,2.457,12.65,3.578,11.643,8.112,1.879,2.15,69.757
2020-04-15,9.935,1.63,2.623,12.8,3.634,11.643,8.692,1.924,2.16,69.898
2020-04-16,10.625,1.61,2.683,12.75,3.504,11.684,8.5,1.933,2.16,69.968
2020-04-17,11.355,1.6,2.835,12.75,3.606,12.219,8.371,2.067,2.15,69.968
2020-04-18,11.355,1.6,2.835,12.75,3.606,12.219,8.371,2.067,2.15,69.968
2020-04-19,11.355,1.6,2.835,12.75,3.606,12.219,8.371,2.067,2.15,69.968
2020-04-20,10.564,1.6,2.77,12.75,3.578,12.589,8.179,2.032,2.16,70.461
2020-04-21,9.834,1.5,2.58,12.65,3.346,11.726,7.471,1.906,2.02,68.207
2020-04-22,10.503,1.53,2.639,12.7,3.429,11.643,8.179,1.906,2.04,68.7
2020-04-23,10.138,1.54,2.646,12.7,3.392,11.561,7.92,1.915,2.03,67.713
2020-04-24,10.056,1.54,2.639,12.8,3.411,11.561,7.92,2.041,2.09,72.434
2020-04-25,10.056,1.54,2.639,12.8,3.411,11.561,7.92,2.041,2.09,72.434
2020-04-26,10.056,1.54,2.639,12.8,3.411,11.561,7.92,2.041,2.09,72.434
2020-04-27,10.746,1.54,2.821,12.95,3.513,11.273,7.792,2.13,2.08,72.434
2020-04-28,11.496,1.53,3.018,13.0,3.587,11.232,7.92,2.121,2.1,70.814
2020-04-29,11.233,1.52,3.039,12.9,3.578,11.315,7.856,2.238,2.12,69.757
2020-04-30,11.233,1.52,3.039,12.9,3.578,11.315,7.856,2.238,2.12,69.757
2020-05-01,11.233,1.52,3.039,12.9,3.578,11.315,7.856,2.238,2.12,69.757
2020-05-02,11.233,1.52,3.039,12.9,3.578,11.315,7.856,2.238,2.12,69.757
2020-05-03,11.233,1.52,3.039,12.9,3.578,11.315,7.856,2.238,2.12,69.757
2020-05-04,10.746,1.42,2.879,12.9,3.625,11.643,7.985,2.085,2.12,68.77
2020-05-05,11.051,1.49,2.988,12.95,3.615,11.643,7.856,2.112,2.08,70.814
2020-05-06,11.193,1.46,3.127,12.95,3.578,11.726,7.985,2.112,2.09,71.518
2020-05-07,11.274,1.45,3.075,12.75,3.69,11.726,8.243,2.094,2.09,72.857
2020-05-08,11.395,1.47,3.075,12.9,3.643,12.136,8.05,1.96,2.07,73.984
