date,adClose_DBC,adClose_DLG,adClose_HHS,adClose_HNG,adClose_IDI,adClose_SBT,adClose_TNG,adClose_TSC,adClose_TTF,adClose_VNM
2022-01-31,,,,,,,,,,
2022-02-01,,,,,,,,,,
2022-02-02,,,,,,,,,,
2022-02-03,,,,,,,,,,
2022-02-04,,,,,,,,,,
2022-02-05,,,,,,,,,,
2022-02-06,,,,,,,,,,
2022-02-07,33.477,7.12,9.214,9.41,11.757,19.2,23.661,15.102,12.8,76.785
2022-02-08,34.048,6.91,9.167,9.45,12.547,19.54,24.703,15.416,12.95,75.406
2022-02-09,33.81,7.05,9.492,9.47,12.919,19.54,24.544,15.911,13.05,76.141
2022-02-10,34.334,7.09,9.492,9.8,13.151,19.54,25.024,15.731,12.9,76.049
2022-02-11,35.239,6.99,9.353,9.51,12.965,19.412,24.784,15.551,13.15,75.406
2022-02-12,35.239,6.99,9.353,9.51,12.965,19.412,24.784,15.551,13.15,75.406
2022-02-13,35.239,6.99,9.353,9.51,12.965,19.412,24.784,15.551,13.15,75.406
2022-02-14,35.239,6.8,9.103,8.9,13.802,19.073,24.703,15.236,12.75,74.578
2022-02-15,35.239,6.79,9.177,9.0,13.476,19.073,24.863,15.461,12.85,74.67
2022-02-16,36.81,7.24,9.445,9.14,13.755,19.54,25.426,15.821,13.6,73.934
2022-02-17,36.429,7.17,9.306,9.52,13.755,19.54,25.505,15.866,13.9,74.302
2022-02-18,36.62,7.22,9.445,9.75,14.359,19.455,26.468,15.911,13.8,74.118
2022-02-19,36.62,7.22,9.445,9.75,14.359,19.455,26.468,15.911,13.8,74.118
2022-02-20,36.62,7.22,9.445,9.75,14.359,19.455,26.468,15.911,13.8,74.118
2022-02-21,36.906,7.72,10.093,9.74,14.685,19.54,26.468,16.18,14.1,74.486
2022-02-22,37.81,7.44,10.51,9.5,14.313,19.37,25.825,16.36,13.7,73.567
2022-02-23,37.667,7.58,10.325,9.49,14.592,20.049,26.628,16.54,14.05,73.567
2022-02-24,36.572,7.05,9.816,9.07,14.08,19.327,27.27,16.45,15.0,72.279
2022-02-25,37.191,7.17,10.14,9.12,14.22,19.455,27.591,16.63,15.0,72.555
2022-02-26,37.191,7.17,10.14,9.12,14.22,19.455,27.591,16.63,15.0,72.555
2022-02-27,37.191,7.17,10.14,9.12,14.22,19.455,27.591,16.63,15.0,72.555
2022-02-28,36.572,7.21,10.093,8.91,14.313,19.2,28.073,17.753,15.15,72.095
2022-03-01,37.144,7.25,10.325,9.0,15.289,19.54,27.351,18.967,14.95,72.831
2022-03-02,36.667,7.3,10.047,9.2,16.265,19.54,27.351,19.776,15.75,72.187
2022-03-03,37.858,7.5,10.093,9.54,16.683,20.899,29.436,20.765,15.7,72.095
2022-03-04,37.144,7.5,10.325,10.1,16.311,20.899,28.633,20.405,15.7,71.635
2022-03-05,37.144,7.5,10.325,10.1,16.311,20.899,28.633,20.405,15.7,71.635
2022-03-06,37.144,7.5,10.325,10.1,16.311,20.899,28.633,20.405,15.7,71.635
2022-03-07,37.382,7.77,10.418,10.5,16.683,21.664,28.874,20.72,15.65,70.624
2022-03-08,35.667,7.53,10.464,10.0,17.473,20.857,27.109,20.315,15.2,69.98
2022-03-09,35.001,7.41,10.371,9.9,18.123,20.432,26.468,18.922,15.25,69.061
2022-03-10,34.858,7.47,10.371,9.92,19.378,20.729,26.708,18.922,15.55,70.9
2022-03-11,34.763,7.5,10.232,9.92,18.03,20.135,27.109,17.618,16.6,71.727
2022-03-12,34.763,7.5,10.232,9.92,18.03,20.135,27.109,17.618,16.6,71.727
2022-03-13,34.763,7.5,10.232,9.92,18.03,20.135,27.109,17.618,16.6,71.727
2022-03-14,35.429,7.2,9.584,9.5,18.495,19.54,26.468,16.63,16.85,70.992
2022-03-15,35.096,7.24,9.816,9.53,19.332,19.54,26.468,15.506,16.8,70.992
2022-03-16,35.382,7.35,9.816,9.71,20.679,19.54,27.27,15.686,17.0,71.084
2022-03-17,35.429,7.72,10.001,10.0,20.354,19.709,27.27,15.281,16.85,70.256
2022-03-18,35.191,7.93,9.955,9.88,20.493,19.54,26.949,15.146,17.0,69.888
2022-03-19,35.191,7.93,9.955,9.88,20.493,19.54,26.949,15.146,17.0,69.888
2022-03-20,35.191,7.93,9.955,9.88,20.493,19.54,26.949,15.146,17.0,69.888
2022-03-21,35.239,8.18,10.232,9.95,21.887,19.795,27.029,15.641,17.2,71.36
2022-03-22,35.667,7.9,10.232,10.35,21.98,19.879,27.029,15.821,16.95,70.716
2022-03-23,36.667,8.1,10.186,10.05,22.399,19.709,26.949,15.371,16.7,69.98
2022-03-24,37.191,8.34,10.325,10.1,22.306,19.837,27.351,14.967,16.85,69.52
2022-03-25,37.239,8.25,10.927,10.15,23.839,20.389,28.794,15.102,17.0,69.153
2022-03-26,37.239,8.25,10.927,10.15,23.839,20.389,28.794,15.102,17.0,69.153
2022-03-27,37.239,8.25,10.927,10.15,23.839,20.389,28.794,15.102,17.0,69.153
2022-03-28,36.334,7.72,10.371,10.8,25.466,20.389,30.638,16.15,16.1,67.497
2022-03-29,36.096,8.14,10.834,10.65,25.419,21.027,30.318,17.25,17.2,69.428
2022-03-30,35.763,7.59,10.371,10.4,25.466,20.432,32.083,17.45,17.05,70.072
2022-03-31,35.715,7.24,9.862,10.1,25.28,20.389,31.039,16.7,16.7,74.394
2022-04-01,35.525,7.31,10.186,10.1,26.441,20.644,31.2,17.0,16.85,75.13
2022-04-02,35.525,7.31,10.186,10.1,26.441,20.644,31.2,17.0,16.85,75.13
2022-04-03,35.525,7.31,10.186,10.1,26.441,20.644,31.2,17.0,16.85,75.13
2022-04-04,35.62,7.55,10.186,10.2,25.28,20.602,30.478,17.05,16.3,75.59
2022-04-05,37.144,7.54,10.093,10.35,26.999,20.389,30.719,17.0,16.1,73.934
2022-04-06,36.62,7.2,9.769,10.1,26.581,20.305,31.681,16.8,15.0,72.923
2022-04-07,35.715,7.2,9.584,10.15,24.722,19.455,31.281,17.95,14.85,72.187
2022-04-08,34.715,7.02,9.492,9.61,23.049,19.2,29.596,18.75,14.75,71.084
2022-04-09,34.715,7.02,9.492,9.61,23.049,19.2,29.596,18.75,14.75,71.084
2022-04-10,34.715,7.02,9.492,9.61,23.049,19.2,29.596,18.75,14.75,71.084
2022-04-11,34.715,7.02,9.492,9.61,23.049,19.2,29.596,18.75,14.75,71.084
2022-04-12,33.905,6.53,8.982,9.2,24.629,18.69,29.757,18.0,14.0,70.624
2022-04-13,34.096,6.66,9.214,9.51,25.977,18.987,31.2,16.75,14.85,70.992
2022-04-14,34.144,6.68,9.177,9.32,26.163,18.987,31.681,16.0,14.3,70.164
2022-04-15,33.334,6.4,8.751,9.3,27.231,19.2,33.286,16.2,14.4,70.348
2022-04-16,33.334,6.4,8.751,9.3,27.231,19.2,33.286,16.2,14.4,70.348
2022-04-17,33.334,6.4,8.751,9.3,27.231,19.2,33.286,16.2,14.4,70.348
2022-04-18,31.143,5.96,8.14,8.65,28.858,18.817,33.687,15.1,13.4,70.808
2022-04-19,29.81,5.55,7.575,8.05,27.603,17.501,31.521,14.05,12.5,69.888
2022-04-20,28.096,5.17,7.177,7.49,26.72,16.311,30.478,13.1,11.8,69.52
2022-04-21,28.477,4.81,6.676,6.97,24.861,16.311,30.959,12.2,12.6,68.969
2022-04-22,29.191,4.55,6.899,7.14,23.142,16.524,27.912,12.25,12.35,69.796
2022-04-23,29.191,4.55,6.899,7.14,23.142,16.524,27.912,12.25,12.35,69.796
2022-04-24,29.191,4.55,6.899,7.14,23.142,16.524,27.912,12.25,12.35,69.796
2022-04-25,27.191,4.4,6.575,6.85,21.562,15.377,25.184,11.4,11.8,67.589
2022-04-26,27.62,4.7,6.991,7.22,21.376,15.717,25.825,11.4,12.45,69.796
2022-04-27,29.239,5.02,7.315,7.38,22.863,15.802,26.468,11.0,12.65,68.969
2022-04-28,29.524,5.1,7.278,7.29,23.189,15.547,26.067,11.75,12.45,68.325
2022-04-29,29.62,5.45,7.473,7.35,24.536,16.142,27.591,12.55,12.65,68.233
2022-04-30,29.62,5.45,7.473,7.35,24.536,16.142,27.591,12.55,12.65,68.233
2022-05-01,29.62,5.45,7.473,7.35,24.536,16.142,27.591,12.55,12.65,68.233
2022-05-02,29.62,5.45,7.473,7.35,24.536,16.142,27.591,12.55,12.65,68.233
2022-05-03,29.62,5.45,7.473,7.35,24.536,16.142,27.591,12.55,12.65,68.233
2022-05-04,27.572,5.36,7.454,7.16,24.629,16.567,27.591,11.7,12.5,66.67
2022-05-05,27.572,5.25,7.232,7.01,22.91,16.524,27.671,11.5,12.0,66.302
2022-05-06,26.477,4.89,6.945,6.95,23.142,15.717,25.906,10.7,11.4,64.555
2022-05-07,26.477,4.89,6.945,6.95,23.142,15.717,25.906,10.7,11.4,64.555
2022-05-08,26.477,4.89,6.945,6.95,23.142,15.717,25.906,10.7,11.4,64.555
2022-05-09,24.667,4.55,6.463,6.47,21.562,14.655,23.34,9.96,10.65,64.371
2022-05-10,23.715,4.86,6.575,6.55,22.259,14.017,24.703,9.94,9.91,64.922
2022-05-11,24.0,5.04,6.667,6.71,21.097,14.103,24.945,10.3,10.0,63.911
2022-05-12,22.334,4.7,6.204,6.25,19.657,13.126,22.457,9.58,9.4,61.152
2022-05-13,20.81,4.39,5.778,5.82,18.309,12.234,20.212,8.91,8.75,60.784
2022-05-14,20.81,4.39,5.778,5.82,18.309,12.234,20.212,8.91,8.75,60.784
2022-05-15,20.81,4.39,5.778,5.82,18.309,12.234,20.212,8.91,8.75,60.784
2022-05-16,20.0,4.49,5.843,5.85,17.054,12.488,19.81,8.98,8.76,60.508
2022-05-17,21.381,4.8,6.251,6.25,18.216,13.338,21.736,9.51,9.36,64.371
2022-05-18,21.762,4.99,6.473,6.3,18.542,13.72,22.056,9.5,9.33,64.647
2022-05-19,21.858,5.0,6.362,6.23,18.309,13.72,21.655,9.32,9.13,63.451
2022-05-20,22.667,5.06,6.371,6.16,18.03,13.72,21.895,9.4,9.18,62.624
2022-05-21,22.667,5.06,6.371,6.16,18.03,13.72,21.895,9.4,9.18,62.624
2022-05-22,22.667,5.06,6.371,6.16,18.03,13.72,21.895,9.4,9.18,62.624
2022-05-23,22.096,5.09,6.213,6.1,19.285,13.593,22.137,9.38,9.0,60.968
2022-05-24,22.143,5.1,6.158,6.1,20.633,13.253,22.859,9.35,9.2,63.359
2022-05-25,22.524,5.3,6.538,6.28,22.073,13.806,24.784,9.52,9.57,66.118
2022-05-26,24.096,5.51,6.491,6.32,21.98,14.74,24.784,10.15,9.71,65.566
2022-05-27,24.953,5.79,6.732,6.6,21.887,14.995,24.301,10.6,9.54,67.129
2022-05-28,24.953,5.79,6.732,6.6,21.887,14.995,24.301,10.6,9.54,67.129
2022-05-29,24.953,5.79,6.732,6.6,21.887,14.995,24.301,10.6,9.54,67.129
2022-05-30,24.953,5.68,6.778,6.6,22.259,15.037,24.141,10.6,9.67,66.67
2022-05-31,24.762,5.5,6.769,6.47,22.77,14.867,24.141,10.25,9.72,65.934
2022-06-01,23.762,5.31,6.825,6.37,24.35,14.909,25.265,10.35,9.4,66.118
2022-06-02,24.953,5.16,6.621,6.23,24.815,14.782,25.879,10.05,9.3,65.382
2022-06-03,24.334,5.18,6.621,6.06,25.001,14.655,25.439,9.88,9.1,64.647
2022-06-04,24.334,5.18,6.621,6.06,25.001,14.655,25.439,9.88,9.1,64.647
2022-06-05,24.334,5.18,6.621,6.06,25.001,14.655,25.439,9.88,9.1,64.647
2022-06-06,23.81,5.15,6.297,6.1,24.164,14.57,25.615,9.3,8.94,65.106
2022-06-07,23.143,4.79,6.149,6.23,25.094,15.505,28.159,9.24,8.8,64.922
2022-06-08,23.81,5.11,6.389,6.51,24.35,15.462,28.51,9.6,9.25,65.29
