date,adClose_DXG,adClose_HAG,adClose_HQC,adClose_ITA,adClose_MBB,adClose_SHB,adClose_SSI,adClose_STB,adClose_VND,adClose_VPB
2018-06-11,22.219,4.61,2.02,2.5,10.449,4.146,14.971,12.6,5.035,12.177
2018-06-12,22.526,4.45,2.1,2.47,10.156,4.057,14.773,12.8,4.806,12.016
2018-06-13,22.834,4.49,2.15,2.48,10.174,4.102,14.927,12.8,4.909,11.994
2018-06-14,22.219,4.65,2.09,2.49,9.863,4.012,14.332,12.55,4.623,11.444
2018-06-15,22.219,4.69,2.04,2.51,10.139,4.057,14.729,12.4,4.691,11.33
2018-06-16,22.219,4.69,2.04,2.51,10.139,4.057,14.729,12.4,4.691,11.33
2018-06-17,22.219,4.69,2.04,2.51,10.139,4.057,14.729,12.4,4.691,11.33
2018-06-18,20.68,5.01,2.0,2.46,9.656,3.923,13.74,12.0,4.439,11.222
2018-06-19,19.621,4.76,1.94,2.31,9.484,3.789,13.629,11.7,4.256,10.778
2018-06-20,20.852,4.77,1.94,2.38,9.622,3.879,13.849,12.0,4.393,11.519
2018-06-21,19.963,4.77,1.96,2.35,9.346,3.834,13.586,11.7,4.348,11.482
2018-06-22,20.407,4.7,1.99,2.36,9.622,3.879,13.893,12.0,4.325,12.186
2018-06-23,20.407,4.7,1.99,2.36,9.622,3.879,13.893,12.0,4.325,12.186
2018-06-24,20.407,4.7,1.99,2.36,9.622,3.879,13.893,12.0,4.325,12.186
2018-06-25,20.51,4.84,2.08,2.46,9.725,3.879,13.916,12.15,4.393,12.056
2018-06-26,20.066,5.07,2.07,2.63,9.622,3.834,13.805,12.0,4.302,11.852
2018-06-27,19.347,5.13,2.07,2.71,9.415,3.789,13.059,11.8,4.119,11.334
2018-06-28,18.322,5.0,2.03,2.75,9.139,3.7,12.53,11.55,3.913,10.926
2018-06-29,18.561,5.21,2.01,2.63,9.036,3.656,12.53,11.55,3.97,10.63
2018-06-30,18.561,5.21,2.01,2.63,9.036,3.656,12.53,11.55,3.97,10.63
2018-07-01,18.561,5.21,2.01,2.63,9.036,3.656,12.53,11.55,3.97,10.63
2018-07-02,17.98,5.2,1.96,2.45,8.57,3.477,12.091,11.1,3.776,10.26
2018-07-03,16.75,5.05,1.9,2.29,8.087,3.254,11.343,10.35,3.524,9.556
2018-07-04,17.023,4.88,1.9,2.36,8.242,3.299,11.98,10.3,3.672,9.778
2018-07-05,15.861,4.99,1.88,2.25,7.777,3.165,11.806,9.72,3.662,9.334
2018-07-06,16.271,5.19,1.88,2.3,8.31,3.477,12.574,10.4,3.913,9.982
2018-07-07,16.271,5.19,1.88,2.3,8.31,3.477,12.574,10.4,3.913,9.982
2018-07-08,16.271,5.19,1.88,2.3,8.31,3.477,12.574,10.4,3.913,9.982
2018-07-09,15.451,5.0,1.87,2.29,8.371,3.433,12.223,10.4,3.856,10.037
2018-07-10,14.425,4.97,1.88,2.3,8.453,3.388,12.157,10.4,3.89,10.296
2018-07-11,13.741,4.88,1.8,2.25,7.961,3.21,11.432,10.0,3.662,9.593
2018-07-12,14.425,5.0,1.81,2.25,8.289,3.344,11.476,10.15,3.753,9.76
2018-07-13,15.28,5.35,1.85,2.28,8.535,3.433,12.07,10.45,3.81,10.148
2018-07-14,15.28,5.35,1.85,2.28,8.535,3.433,12.07,10.45,3.81,10.148
2018-07-15,15.28,5.35,1.85,2.28,8.535,3.433,12.07,10.45,3.81,10.148
2018-07-16,15.177,5.72,1.84,2.26,8.782,3.477,12.002,10.5,3.799,10.222
2018-07-17,16.237,5.93,1.83,2.28,9.172,3.567,12.223,10.75,3.936,10.908
2018-07-18,16.955,6.33,1.92,2.31,9.479,3.7,12.838,11.2,4.21,11.13
2018-07-19,17.126,6.26,1.9,2.31,9.274,3.656,12.706,11.0,4.21,11.0
2018-07-20,16.75,6.19,1.88,2.3,9.561,3.656,12.817,11.0,4.348,10.926
2018-07-21,16.75,6.19,1.88,2.3,9.561,3.656,12.817,11.0,4.348,10.926
2018-07-22,16.75,6.19,1.88,2.3,9.561,3.656,12.817,11.0,4.348,10.926
2018-07-23,16.271,6.62,1.89,2.28,9.377,3.567,12.376,11.75,4.097,10.186
2018-07-24,16.476,7.08,1.88,2.4,9.274,3.567,12.046,11.4,4.073,9.926
2018-07-25,16.476,7.12,1.96,2.5,9.028,3.522,11.651,11.2,3.936,9.741
2018-07-26,17.092,6.63,1.91,2.38,9.233,3.567,12.178,11.25,4.004,9.704
2018-07-27,18.048,7.09,1.9,2.45,9.438,3.611,12.267,11.2,4.028,9.778
2018-07-28,18.048,7.09,1.9,2.45,9.438,3.611,12.267,11.2,4.028,9.778
2018-07-29,18.048,7.09,1.9,2.45,9.438,3.611,12.267,11.2,4.028,9.778
2018-07-30,18.117,7.58,1.91,2.53,9.643,3.7,12.574,11.5,4.119,10.112
2018-07-31,17.775,7.62,1.92,2.7,9.623,3.611,12.706,11.45,4.142,10.037
2018-08-01,17.639,7.1,2.05,2.88,9.479,3.567,12.75,11.3,4.085,9.926
2018-08-02,17.775,6.9,2.01,2.93,9.418,3.522,12.905,11.05,4.199,9.834
2018-08-03,17.707,7.15,1.96,2.83,9.479,3.567,12.772,11.05,4.21,9.852
2018-08-04,17.707,7.15,1.96,2.83,9.479,3.567,12.772,11.05,4.21,9.852
2018-08-05,17.707,7.15,1.96,2.83,9.479,3.567,12.772,11.05,4.21,9.852
