date,adClose_CMG,adClose_ELC,adClose_FPT,adClose_ITD,adClose_PSD,adClose_SAM,adClose_SGT,adClose_SRA,adClose_ST8,adClose_TYA
2018-12-10,14.86,6.472,19.072,6.673,7.794,5.959,3.774,10.39,10.057,6.507
2018-12-11,15.339,6.316,19.007,6.733,7.794,5.816,3.774,10.715,10.057,6.507
2018-12-12,14.62,6.316,19.18,6.643,7.014,5.825,3.774,11.345,10.057,6.507
2018-12-13,14.89,6.472,19.244,6.703,6.372,5.783,3.774,10.855,10.736,6.507
2018-12-14,14.86,6.472,19.05,6.643,6.419,5.732,3.753,11.927,10.736,6.539
2018-12-15,14.86,6.472,19.05,6.643,6.419,5.732,3.753,11.927,10.736,6.539
2018-12-16,14.86,6.472,19.05,6.643,6.419,5.732,3.753,11.927,10.736,6.539
2018-12-17,14.501,6.324,18.554,6.673,6.464,5.716,3.994,12.253,10.736,6.507
2018-12-18,13.722,6.324,18.122,6.703,6.464,5.883,4.132,11.648,11.476,6.507
2018-12-19,13.961,6.308,18.166,6.703,6.464,5.931,4.132,12.09,11.357,6.507
2018-12-20,14.111,6.308,18.144,6.673,6.464,5.939,3.843,12.02,10.589,6.539
2018-12-21,13.722,6.144,18.338,6.862,6.419,6.017,3.843,11.415,11.299,6.507
2018-12-22,13.722,6.144,18.338,6.862,6.419,6.017,3.843,11.415,11.299,6.507
2018-12-23,13.722,6.144,18.338,6.862,6.419,6.017,3.843,11.415,11.299,6.507
2018-12-24,14.081,6.062,18.122,6.453,6.419,6.0,3.788,11.018,11.653,6.632
2018-12-25,14.021,6.062,17.907,6.329,6.419,5.974,3.926,10.46,11.653,6.632
2018-12-26,14.081,6.292,17.864,6.58,6.419,5.974,3.926,10.949,11.239,6.57
2018-12-27,13.901,6.349,18.036,6.768,6.924,5.974,3.926,10.366,10.648,6.632
2018-12-28,14.38,6.292,18.209,6.643,6.924,6.06,3.926,9.9,11.239,6.632
2018-12-29,14.38,6.292,18.209,6.643,6.924,6.06,3.926,9.9,11.239,6.632
2018-12-30,14.38,6.292,18.209,6.643,6.924,6.06,3.926,9.9,11.239,6.632
2018-12-31,14.38,6.292,18.209,6.643,6.924,6.06,3.926,9.9,11.239,6.632
2019-01-01,14.38,6.292,18.209,6.643,6.924,6.06,3.926,9.9,11.239,6.632
2019-01-02,14.321,6.169,17.777,6.423,6.419,5.904,3.657,10.366,11.18,6.632
2019-01-03,14.081,6.062,17.605,6.423,6.419,5.974,3.402,9.341,11.18,6.632
2019-01-04,13.752,6.062,17.734,6.736,6.602,6.017,3.402,8.48,11.476,6.632
2019-01-05,13.752,6.062,17.734,6.736,6.602,6.017,3.402,8.48,11.476,6.632
2019-01-06,13.752,6.062,17.734,6.736,6.602,6.017,3.402,8.48,11.476,6.632
2019-01-07,14.021,5.989,18.036,6.423,6.602,6.06,3.512,8.06,10.736,6.632
2019-01-08,14.021,6.062,18.122,6.392,6.602,6.043,3.512,7.268,11.18,6.632
2019-01-09,14.081,6.135,18.295,6.453,6.786,6.147,3.512,6.546,10.648,6.6
2019-01-10,14.021,6.095,18.187,6.329,6.877,6.147,3.444,7.198,10.648,6.6
2019-01-11,14.081,6.078,18.209,6.453,6.877,6.225,3.237,7.897,10.943,6.6
2019-01-12,14.081,6.078,18.209,6.453,6.877,6.225,3.237,7.897,10.943,6.6
