date,adClose_DXG,adClose_HAG,adClose_HQC,adClose_ITA,adClose_MBB,adClose_SHB,adClose_SSI,adClose_STB,adClose_VND,adClose_VPB
2021-11-30,32.7,8.23,6.48,13.2,20.498,17.315,48.586,28.9,31.383,25.134
2021-12-01,33.25,8.7,6.65,13.35,20.851,17.352,47.978,29.9,30.985,25.267
2021-12-02,32.2,8.8,6.87,13.05,20.568,17.352,46.935,29.3,30.867,24.667
2021-12-03,31.1,8.8,6.7,13.0,20.003,16.947,43.893,28.0,28.999,23.8
2021-12-04,31.1,8.8,6.7,13.0,20.003,16.947,43.893,28.0,28.999,23.8
2021-12-05,31.1,8.8,6.7,13.0,20.003,16.947,43.893,28.0,28.999,23.8
2021-12-06,30.2,8.63,6.31,13.4,19.437,16.247,44.327,27.0,29.357,23.667
2021-12-07,31.2,9.23,6.66,14.3,19.897,16.541,45.37,28.05,29.675,23.767
2021-12-08,31.15,9.87,6.66,15.05,20.073,16.873,45.022,28.6,30.151,23.834
2021-12-09,33.05,10.2,6.73,14.7,20.179,16.91,46.761,28.85,31.741,23.734
2021-12-10,33.05,10.55,6.81,15.25,20.038,16.91,46.065,28.6,31.383,23.867
2021-12-11,33.05,10.55,6.81,15.25,20.038,16.91,46.065,28.6,31.383,23.867
2021-12-12,33.05,10.55,6.81,15.25,20.038,16.91,46.065,28.6,31.383,23.867
2021-12-13,34.1,11.25,7.28,16.3,20.073,16.652,46.414,28.65,31.979,23.6
2021-12-14,33.3,12.0,7.7,17.4,19.967,16.357,45.805,28.1,32.058,23.334
2021-12-15,34.0,12.2,8.05,16.2,20.144,16.431,44.936,28.35,31.383,23.1
2021-12-16,36.2,13.05,8.6,17.3,19.967,16.32,44.24,28.6,30.588,22.467
2021-12-17,36.2,12.15,8.0,16.55,19.932,16.357,45.631,28.3,31.78,22.534
2021-12-18,36.2,12.15,8.0,16.55,19.932,16.357,45.631,28.3,31.78,22.534
2021-12-19,36.2,12.15,8.0,16.55,19.932,16.357,45.631,28.3,31.78,22.534
2021-12-20,35.5,12.75,8.26,16.9,19.72,16.099,46.5,28.65,33.846,22.767
2021-12-21,35.85,13.6,8.6,17.1,19.755,15.842,45.631,28.2,33.687,22.767
2021-12-22,36.5,14.5,9.1,18.1,19.543,15.326,44.414,27.65,33.091,22.4
2021-12-23,33.95,14.9,9.07,18.2,19.296,14.81,42.589,27.4,31.304,21.6
2021-12-24,34.4,14.2,8.8,17.7,19.897,15.842,42.633,28.2,31.741,22.834
2021-12-25,34.4,14.2,8.8,17.7,19.897,15.842,42.633,28.2,31.741,22.834
2021-12-26,34.4,14.2,8.8,17.7,19.897,15.842,42.633,28.2,31.741,22.834
2021-12-27,35.2,14.5,9.18,17.85,19.897,15.842,42.719,28.1,31.78,22.9
2021-12-28,35.85,13.55,9.56,17.8,20.003,15.842,42.415,30.05,31.184,23.034
2021-12-29,35.7,14.45,9.38,17.15,20.003,15.842,43.154,29.5,31.383,23.167
2021-12-30,35.0,14.25,9.06,17.0,20.109,15.768,45.718,30.5,32.893,23.6
2021-12-31,35.0,13.3,8.8,16.6,20.427,16.431,45.022,31.5,32.574,23.867
2022-01-01,35.0,13.3,8.8,16.6,20.427,16.431,45.022,31.5,32.574,23.867
2022-01-02,35.0,13.3,8.8,16.6,20.427,16.431,45.022,31.5,32.574,23.867
