date,adClose_CMG,adClose_ELC,adClose_FPT,adClose_ITD,adClose_PSD,adClose_SAM,adClose_SGT,adClose_SRA,adClose_ST8,adClose_TYA
2018-06-11,12.149,9.257,20.028,7.603,6.098,5.977,3.678,2.679,9.425,8.151
2018-06-12,11.498,9.257,19.522,7.354,6.098,5.883,3.781,2.679,9.481,8.202
2018-06-13,12.095,9.298,19.733,7.271,6.098,5.883,4.043,2.726,8.853,8.306
2018-06-14,12.095,9.585,19.649,7.52,6.098,5.874,3.76,2.726,8.772,7.933
2018-06-15,11.661,9.585,19.607,7.465,6.098,5.868,3.76,2.726,8.255,8.274
2018-06-16,11.661,9.585,19.607,7.465,6.098,5.868,3.76,2.726,8.255,8.274
2018-06-17,11.661,9.585,19.607,7.465,6.098,5.868,3.76,2.726,8.255,8.274
2018-06-18,11.389,9.052,19.143,7.242,6.098,5.868,3.65,2.726,8.527,7.964
2018-06-19,11.336,8.438,18.763,6.741,6.098,5.842,3.554,2.562,8.826,7.438
2018-06-20,11.389,8.766,19.143,7.075,6.419,5.842,3.554,2.562,8.772,6.942
2018-06-21,10.956,8.602,18.721,6.741,6.419,5.808,3.719,2.562,8.99,6.974
2018-06-22,11.661,8.274,18.974,6.908,5.822,5.901,3.478,2.562,9.617,6.974
2018-06-23,11.661,8.274,18.974,6.908,5.822,5.901,3.478,2.562,9.617,6.974
2018-06-24,11.661,8.274,18.974,6.908,5.822,5.901,3.478,2.562,9.617,6.974
2018-06-25,11.118,8.274,19.016,6.852,6.372,5.901,3.512,2.562,9.044,6.756
2018-06-26,11.607,8.438,18.763,6.852,6.648,5.883,3.719,2.562,9.671,6.756
2018-06-27,11.661,8.52,18.679,6.741,6.052,5.874,3.788,2.562,10.079,7.035
2018-06-28,11.498,8.192,17.92,6.796,6.052,5.8,3.788,2.446,9.398,6.974
2018-06-29,11.552,8.192,17.498,6.796,5.503,5.883,3.926,2.446,9.154,7.096
2018-06-30,11.552,8.192,17.498,6.796,5.503,5.883,3.926,2.446,9.154,7.096
2018-07-01,11.552,8.192,17.498,6.796,5.503,5.883,3.926,2.446,9.154,7.096
2018-07-02,11.281,8.11,16.95,6.573,5.503,5.842,4.132,2.446,8.799,7.065
2018-07-03,10.794,7.717,16.444,6.518,6.052,5.75,3.843,2.213,9.181,6.725
2018-07-04,10.25,7.545,16.866,6.518,6.511,5.842,3.829,2.329,8.772,6.786
2018-07-05,10.142,7.742,16.655,6.518,6.786,5.741,3.678,2.283,8.826,6.817
2018-07-06,10.522,7.454,17.203,6.629,6.419,5.716,3.753,2.329,9.425,6.695
2018-07-07,10.522,7.454,17.203,6.629,6.419,5.716,3.753,2.329,9.425,6.695
2018-07-08,10.522,7.454,17.203,6.629,6.419,5.716,3.753,2.329,9.425,6.695
2018-07-09,10.576,7.536,16.929,6.685,6.419,5.757,3.712,2.329,9.425,6.353
2018-07-10,10.685,7.7,17.035,6.629,6.464,5.716,3.712,2.329,8.826,6.446
2018-07-11,10.63,7.529,16.529,6.546,5.868,5.716,3.65,2.329,8.527,6.26
2018-07-12,10.549,7.529,16.36,6.573,5.868,5.724,3.629,2.376,8.091,6.26
2018-07-13,10.63,7.536,17.119,6.602,6.372,5.732,3.877,2.329,7.574,6.321
2018-07-14,10.63,7.536,17.119,6.602,6.372,5.732,3.877,2.329,7.574,6.321
2018-07-15,10.63,7.536,17.119,6.602,6.372,5.732,3.877,2.329,7.574,6.321
2018-07-16,10.738,7.372,17.245,6.629,6.419,5.716,3.857,2.283,8.091,6.446
2018-07-17,11.227,7.413,17.667,6.602,6.648,5.75,3.588,2.283,8.636,6.507
2018-07-18,11.932,7.413,18.089,6.657,6.281,5.716,3.753,2.283,9.235,6.507
2018-07-19,11.769,7.454,17.92,6.657,6.328,5.716,3.492,2.283,9.371,6.632
2018-07-20,11.552,7.349,17.541,6.685,6.556,5.716,3.574,2.283,9.371,6.632
2018-07-21,11.552,7.349,17.541,6.685,6.556,5.716,3.574,2.283,9.371,6.632
2018-07-22,11.552,7.349,17.541,6.685,6.556,5.716,3.574,2.283,9.371,6.632
2018-07-23,11.389,7.365,17.709,6.685,6.556,5.724,3.402,2.283,9.371,6.632
2018-07-24,11.281,7.349,17.794,6.629,6.556,5.716,3.402,2.306,9.371,6.385
2018-07-25,11.281,7.308,17.878,6.629,6.189,5.716,3.402,2.213,9.371,6.476
2018-07-26,11.227,7.308,17.941,6.602,5.96,5.732,3.409,2.167,9.371,6.321
2018-07-27,11.227,7.536,18.257,6.657,6.189,5.883,3.636,2.259,9.371,6.446
2018-07-28,11.227,7.536,18.257,6.657,6.189,5.883,3.636,2.259,9.371,6.446
2018-07-29,11.227,7.536,18.257,6.657,6.189,5.883,3.636,2.259,9.371,6.446
2018-07-30,11.01,7.291,18.257,6.602,6.419,5.933,3.636,2.469,8.99,6.476
2018-07-31,11.498,7.299,18.047,6.294,6.328,5.992,3.416,2.702,8.99,6.446
2018-08-01,11.118,7.372,17.709,6.212,6.006,5.883,3.505,2.959,9.481,6.26
2018-08-02,11.118,7.372,18.004,6.266,6.328,6.018,3.581,3.238,9.535,6.321
2018-08-03,11.336,7.332,17.962,6.407,5.96,6.051,3.581,3.378,9.535,6.385
2018-08-04,11.336,7.332,17.962,6.407,5.96,6.051,3.581,3.378,9.535,6.385
2018-08-05,11.336,7.332,17.962,6.407,5.96,6.051,3.581,3.378,9.535,6.385
2018-08-06,11.173,7.52,17.815,6.351,6.328,6.136,3.581,3.704,9.535,6.476
2018-08-07,11.281,7.372,17.688,6.351,6.556,6.043,3.65,4.053,9.535,6.476
2018-08-08,11.254,7.454,17.92,6.434,6.328,6.018,3.616,4.449,9.263,6.539
2018-08-09,11.661,7.39,18.047,6.462,6.832,5.816,3.616,4.892,9.481,6.57
2018-08-10,11.986,7.52,18.173,6.602,6.419,5.8,3.616,5.381,8.99,6.632
2018-08-11,11.986,7.52,18.173,6.602,6.419,5.8,3.616,5.381,8.99,6.632
2018-08-12,11.986,7.52,18.173,6.602,6.419,5.8,3.616,5.381,8.99,6.632
2018-08-13,12.475,7.372,18.321,6.629,6.419,5.765,3.705,5.917,9.263,6.756
2018-08-14,12.421,7.372,18.679,6.629,6.419,5.741,3.45,5.87,9.317,6.725
2018-08-15,12.285,7.413,18.468,6.602,6.419,5.716,3.45,5.288,9.099,6.695
2018-08-16,12.149,7.397,18.554,6.462,6.419,5.716,3.375,5.8,8.881,6.632
2018-08-17,12.149,7.372,18.77,6.462,6.419,5.732,3.375,6.36,8.881,6.695
2018-08-18,12.149,7.372,18.77,6.462,6.419,5.732,3.375,6.36,8.881,6.695
