,Stock A,Stock B,Gatev Pairs,EG Pairs,EG Pairs Swap,Johansen Pairs,Count
0,adClose_DBC,adClose_HHS,x,,,,1
1,adClose_DBC,adClose_HNG,x,x,x,,3
2,adClose_DBC,adClose_TTF,x,,,,1
3,adClose_DLG,adClose_HHS,x,,,,1
4,adClose_DLG,adClose_HNG,x,,,,1
5,adClose_DLG,adClose_IDI,,,x,x,2
6,adClose_DLG,adClose_TSC,x,,,,1
7,adClose_DLG,adClose_TTF,x,x,x,,3
8,adClose_HHS,adClose_HNG,x,x,x,,3
9,adClose_HHS,adClose_IDI,,,,x,1
10,adClose_HHS,adClose_TTF,x,x,,,2
11,adClose_HNG,adClose_IDI,,,,x,1
12,adClose_HNG,adClose_TTF,x,,,,1
13,adClose_IDI,adClose_SBT,,,,x,1
14,adClose_IDI,adClose_TSC,,,,x,1
15,adClose_IDI,adClose_TTF,,,,x,1
16,adClose_IDI,adClose_VNM,,,,x,1
17,adClose_TSC,adClose_TTF,,x,x,x,3
18,adClose_TSC,adClose_VNM,,,,x,1
19,adClose_TTF,adClose_VNM,,,,x,1
