,Stock A,Stock B,Gatev Pairs,EG Pairs,EG Pairs Swap,Johansen Pairs,Count
0,adClose_DXG,adClose_MBB,x,,,,1
1,adClose_DXG,adClose_SSI,x,,,,1
2,adClose_DXG,adClose_STB,x,,,,1
3,adClose_DXG,adClose_VPB,x,,,,1
4,adClose_HAG,adClose_MBB,x,,,,1
5,adClose_HQC,adClose_ITA,,,,x,1
6,adClose_HQC,adClose_VPB,,x,,,1
7,adClose_ITA,adClose_MBB,,,,x,1
8,adClose_ITA,adClose_SHB,,x,,x,2
9,adClose_ITA,adClose_SSI,,,,x,1
10,adClose_ITA,adClose_VND,,,,x,1
11,adClose_ITA,adClose_VPB,,,,x,1
12,adClose_MBB,adClose_STB,x,,,,1
13,adClose_MBB,adClose_VND,,,x,,1
14,adClose_MBB,adClose_VPB,x,,,,1
15,adClose_SSI,adClose_STB,x,,,,1
16,adClose_SSI,adClose_VND,x,,,,1
17,adClose_STB,adClose_VND,,x,x,,2
18,adClose_STB,adClose_VPB,x,,,,1
