,Stock A,Stock B,Gatev Pairs,EG Pairs,EG Pairs Swap,Johansen Pairs,Count
0,adClose_CMG,adClose_ITD,x,,,,1
1,adClose_CMG,adClose_SAM,x,,,,1
2,adClose_CMG,adClose_SRA,,,x,x,2
3,adClose_CMG,adClose_TYA,x,,,,1
4,adClose_ELC,adClose_ITD,,x,x,x,3
5,adClose_ELC,adClose_SGT,,,,x,1
6,adClose_ELC,adClose_SRA,,,x,,1
7,adClose_FPT,adClose_ITD,x,x,x,x,4
8,adClose_FPT,adClose_PSD,x,,,,1
9,adClose_ITD,adClose_PSD,x,,,,1
10,adClose_ITD,adClose_SGT,,x,x,,2
11,adClose_ITD,adClose_SRA,,,x,,1
12,adClose_ITD,adClose_TYA,x,,,,1
13,adClose_PSD,adClose_SRA,,,x,x,2
14,adClose_PSD,adClose_TYA,x,,,,1
15,adClose_SAM,adClose_SRA,,,,x,1
16,adClose_SAM,adClose_ST8,x,,,,1
17,adClose_SAM,adClose_TYA,x,,,,1
18,adClose_SGT,adClose_SRA,,,x,x,2
19,adClose_SRA,adClose_ST8,,x,,x,2
20,adClose_SRA,adClose_TYA,,,,x,1
