,Stock A,Stock B,Gatev Pairs,EG Pairs,EG Pairs Swap,Johansen Pairs,Count
0,adClose_DXG,adClose_HQC,x,,,,1
1,adClose_DXG,adClose_MBB,,x,x,x,3
2,adClose_DXG,adClose_SHB,,,,x,1
3,adClose_DXG,adClose_STB,,,,x,1
4,adClose_DXG,adClose_VND,x,,,,1
5,adClose_HQC,adClose_ITA,x,,,,1
6,adClose_HQC,adClose_MBB,,,x,,1
7,adClose_HQC,adClose_SHB,x,,,,1
8,adClose_HQC,adClose_SSI,x,,,,1
9,adClose_HQC,adClose_VND,,x,x,,2
10,adClose_MBB,adClose_SHB,,,,x,1
11,adClose_MBB,adClose_STB,x,,,,1
12,adClose_MBB,adClose_VND,x,x,x,x,4
13,adClose_MBB,adClose_VPB,x,,,,1
14,adClose_SHB,adClose_SSI,x,x,x,x,4
15,adClose_SHB,adClose_STB,x,,,,1
16,adClose_SHB,adClose_VND,,,,x,1
17,adClose_SHB,adClose_VPB,,x,x,x,3
18,adClose_SSI,adClose_VND,,,,x,1
19,adClose_SSI,adClose_VPB,,x,x,x,3
20,adClose_STB,adClose_VND,,,,x,1
21,adClose_VND,adClose_VPB,,,x,,1
