,Stock A,Stock B,Gatev Pairs,EG Pairs,EG Pairs Swap,Johansen Pairs,Count
0,adClose_CMG,adClose_ITD,x,,,,1
1,adClose_CMG,adClose_SAM,x,,,,1
2,adClose_CMG,adClose_TYA,x,,,,1
3,adClose_ELC,adClose_ITD,,x,x,x,3
4,adClose_ELC,adClose_SGT,,,,x,1
5,adClose_FPT,adClose_ITD,x,x,x,x,4
6,adClose_FPT,adClose_PSD,x,,,,1
7,adClose_ITD,adClose_PSD,x,,,,1
8,adClose_ITD,adClose_SGT,,x,x,,2
9,adClose_ITD,adClose_TYA,x,,,,1
10,adClose_PSD,adClose_TYA,x,,,,1
11,adClose_SAM,adClose_ST8,x,,,,1
12,adClose_SAM,adClose_TYA,x,,,,1
